Author_name,topic,title,Abstract,year,Source,label
gemini,machine learning,Deep Learning for Fatigue Estimation on the Basis of Multimodal Human-Machine Interactions,"This paper focuses on the development of deep learning models for fatigue estimation based on multimodal human-machine interactions. The authors propose a framework that integrates data from various sensors, such as physiological signals, eye tracking data, and behavioral data, to predict driver fatigue levels. The paper evaluates the performance of the deep learning model on real-world driving datasets and demonstrates its ability to accurately estimate fatigue in different driving scenarios.",2024,gemini,AI
gemini,machine learning,Community Detection in Partially Observable Social Networks,"This paper addresses the challenge of community detection in partially observable social networks, where information about connections between individuals is incomplete. The authors propose a novel approach that combines graph clustering algorithms with Bayesian inference techniques to uncover hidden communities in the network. The paper evaluates the method on various benchmark datasets and demonstrates its ability to identify communities with high accuracy, even in the presence of missing data.",2024,gemini,AI
gemini,machine learning,Towards co-evolution of fitness predictors and Deep Neural Networks,This paper proposes a novel framework for co-evolution of fitness predictors and deep neural networks. The approach aims to improve the performance of deep neural networks by jointly optimizing the network architecture and the fitness function used for training. This co-evolutionary framework enables the discovery of more efficient and effective network structures by leveraging the feedback from the fitness predictor. The paper demonstrates the effectiveness of this approach on various machine learning tasks.,2024,gemini,AI
gemini,machine learning,"Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference","This paper introduces a novel method for enhancing neural architectures for natural language inference by utilizing an Alignment Factorization technique. The method aims to improve the ability of neural networks to understand and reason about the relationships between sentences. The authors propose a factorization scheme that aligns different parts of the input sentences, allowing the network to capture more subtle semantic relationships. The paper demonstrates the effectiveness of this method on various natural language inference benchmarks.",2024,gemini,AI
gemini,machine learning,Parameter-free online learning via model selection,This paper explores the problem of parameter-free online learning via model selection. The authors propose a new approach that dynamically selects the best model from a pool of candidate models based on incoming data. This method avoids the need for pre-specified parameters and adapts to changing data distributions over time. The paper evaluates the performance of the proposed method on various online learning tasks and demonstrates its ability to achieve competitive performance with minimal parameter tuning.,2024,gemini,AI
gemini,machine learning,Towards automated patient data cleaning using deep learning: A feasibility study on the standardization of organ labeling,"This research investigates the feasibility of automating patient data cleaning using deep learning, focusing on the standardization of organ labeling. The study utilizes a deep learning model to identify and correct errors in organ labeling in medical images. The paper evaluates the model's performance on a dataset of patient records and demonstrates its ability to achieve high accuracy in standardizing organ labels. This work has the potential to significantly improve the efficiency and accuracy of medical data analysis.",2024,gemini,AI
gemini,machine learning,PrivySense: $\underline{Pri}$ce $\underline{V}$olatilit$\underline{y}$ based $\underline{Sen}$timent$\underline{s}$ $\underline{E}$stimation from Financial News using Machine Learning,"This paper presents PrivySense, a novel system for estimating financial news sentiment based on price volatility using machine learning. The system analyzes financial news articles and identifies sentiment-related keywords and phrases. By leveraging the relationship between sentiment and price volatility, the system provides real-time estimates of market sentiment, which can be valuable for investors and financial analysts.",2024,gemini,AI
gemini,machine learning,Learning Structural Weight Uncertainty for Sequential Decision-Making,"This paper proposes a novel approach for learning structural weight uncertainty for sequential decision-making. The method utilizes a Bayesian neural network to model the uncertainty associated with the weights of the decision-making policy. This approach allows for more robust and flexible decision-making, as it accounts for the inherent uncertainty in the environment and the policy parameters. The paper demonstrates the effectiveness of this method on various sequential decision-making tasks.",2024,gemini,AI
gemini,machine learning,Face Synthesis from Visual Attributes via Sketch using Conditional VAEs and GANs,"This paper explores the use of conditional variational autoencoders (VAEs) and generative adversarial networks (GANs) for face synthesis from visual attributes via sketch. The authors propose a novel framework that combines the strengths of VAEs and GANs to generate realistic faces from input sketches and attribute descriptions. The paper demonstrates the ability of the proposed model to create high-quality face images with different attributes, highlighting the potential of this approach for applications in computer graphics and image generation.",2024,gemini,AI
gemini,machine learning,Particle Clustering Machine: A Dynamical System Based Approach,"This paper introduces a new dynamical system-based approach for particle clustering, called the Particle Clustering Machine. The approach utilizes a dynamical system model to represent particle movements and interactions. The model is then used to identify clusters of particles based on their spatial and temporal relationships. The paper demonstrates the effectiveness of this method on various particle clustering tasks, showcasing its ability to handle complex data patterns and noisy data.",2024,gemini,AI
gemini,machine learning,Dendritic error backpropagation in deep cortical microcircuits,"This paper investigates the mechanism of dendritic error backpropagation in deep cortical microcircuits. The authors propose a theoretical model that explains how error signals can propagate through the dendrites of neurons in the cortex, enabling efficient learning in deep neural networks. The model incorporates insights from neuroscience and computational neuroscience and provides a plausible explanation for the backpropagation process in biological neural networks.",2024,gemini,AI
gemini,machine learning,f-Divergence constrained policy improvement,"This paper introduces a new policy improvement algorithm, called f-Divergence constrained policy improvement, for reinforcement learning. The algorithm utilizes f-divergence, a generalized measure of dissimilarity between probability distributions, to constrain the policy updates. This approach allows for more stable and efficient learning, particularly in complex environments with high-dimensional state spaces. The paper demonstrates the effectiveness of the proposed algorithm on various reinforcement learning tasks.",2024,gemini,AI
gemini,machine learning,Deep Reinforcement Learning for Unsupervised Video Summarization with Diversity-Representativeness Reward,This paper explores the use of deep reinforcement learning for unsupervised video summarization with diversity-representativeness reward. The authors propose a novel reward function that encourages the selection of diverse and representative keyframes for video summarization. The proposed deep reinforcement learning framework learns to generate concise and informative video summaries by optimizing this reward function. The paper evaluates the performance of the method on various video datasets and demonstrates its ability to generate high-quality video summaries.,2024,gemini,AI
gemini,machine learning,Characterizing optimal hierarchical policy inference on graphs via non-equilibrium thermodynamics,This paper investigates the optimal hierarchical policy inference on graphs via non-equilibrium thermodynamics. The authors develop a theoretical framework that uses concepts from non-equilibrium thermodynamics to analyze the dynamics of hierarchical decision-making processes on graphs. The framework provides insights into the efficiency and robustness of different hierarchical policies and can be used to design optimal strategies for complex decision-making problems in various domains.,2024,gemini,AI
gemini,machine learning,A Deep Belief Network Based Machine Learning System for Risky Host Detection,This paper proposes a deep belief network (DBN)-based machine learning system for risky host detection. The system utilizes a DBN to model the complex relationships between various network features associated with risky hosts. The model is trained on a dataset of network traffic and learns to identify patterns indicative of risky hosts. The paper evaluates the performance of the DBN system on real-world network datasets and demonstrates its ability to detect risky hosts with high accuracy.,2024,gemini,AI
gemini,machine learning,Non-negative Matrix Factorization: Robust Extraction of Extended Structures,"This paper explores a robust method for extracting extended structures from data using non-negative matrix factorization (NMF). The authors propose a novel approach that incorporates a regularization term to promote the discovery of extended structures in the data. The method is particularly effective in handling noisy and incomplete data, making it suitable for applications in various fields, including image analysis, text mining, and bioinformatics.",2024,gemini,AI
gemini,machine learning,A Unified Bayesian Inference Framework for Generalized Linear Models,This paper presents a unified Bayesian inference framework for generalized linear models (GLMs). The framework provides a flexible and efficient approach for estimating model parameters and performing inference in GLMs. The approach utilizes a Bayesian hierarchical model that allows for the incorporation of prior knowledge and the estimation of uncertainty in the model parameters. The paper demonstrates the effectiveness of the framework on various GLM applications.,2024,gemini,AI
gemini,machine learning,SBEED: Convergent Reinforcement Learning with Nonlinear Function Approximation,"This paper introduces SBEED, a new convergent reinforcement learning algorithm that utilizes nonlinear function approximation. SBEED combines the advantages of stochastic gradient descent and experience replay to enable efficient and stable learning in complex environments. The algorithm guarantees convergence to a local optimum and offers a flexible approach for handling non-linear function approximation, making it suitable for a wide range of reinforcement learning tasks.",2024,gemini,AI
gemini,machine learning,Large-Scale Experiment on the Importance of Social Learning and Unimodality in the Wisdom of the Crowd,This paper presents a large-scale experiment investigating the importance of social learning and unimodality in the wisdom of the crowd. The study analyzes data from a large-scale online experiment involving thousands of participants and explores the impact of social interactions and task characteristics on group decision-making. The results highlight the key role of social learning and unimodality in achieving accurate and efficient collective decisions.,2024,gemini,AI
gemini,machine learning,Boosting the Actor with Dual Critic,"This paper proposes a new reinforcement learning algorithm called Boosting the Actor with Dual Critic. The algorithm utilizes two critics to evaluate the performance of the actor, which learns the optimal policy. By leveraging the information from both critics, the algorithm achieves faster convergence and better performance compared to traditional actor-critic methods. This approach offers a promising alternative for solving complex reinforcement learning problems.",2024,gemini,AI
gemini,machine learning,A Stochastic Trust Region Algorithm Based on Careful Step Normalization,"This paper introduces a stochastic trust region algorithm based on careful step normalization. The algorithm utilizes a novel step normalization technique to ensure that the search directions are properly scaled and that the algorithm explores the search space efficiently. This approach enhances the robustness and convergence properties of the algorithm, making it particularly suitable for optimizing complex and non-convex functions.",2024,gemini,AI
gemini,machine learning,Using abstract elastic membranes to learn about quantum measurements,This paper explores the use of abstract elastic membranes to learn about quantum measurements. The authors develop a theoretical framework that maps quantum measurements onto the properties of elastic membranes. This approach provides a novel way to understand and analyze quantum measurements by leveraging the well-developed tools and concepts from classical mechanics. The paper demonstrates the potential of this approach for gaining insights into quantum information theory.,2024,gemini,AI
gemini,machine learning,Interstellar communication. VII. Benchmarking inscribed matter probes,This paper investigates the feasibility of using inscribed matter probes for interstellar communication. The authors analyze the properties of different materials and probe designs and assess their ability to transmit information across vast distances. The paper provides a comprehensive framework for evaluating the feasibility of inscribed matter probes for interstellar communication and discusses the challenges and opportunities associated with this approach.,2024,gemini,AI
gemini,machine learning,Deep Learning Interior Tomography for Region-of-Interest Reconstruction,"This paper presents a deep learning approach for interior tomography reconstruction, specifically focusing on region-of-interest reconstruction. The proposed method utilizes a deep neural network to learn the relationship between the limited projection data and the desired interior region. This approach allows for more accurate and efficient reconstruction of specific regions of interest, reducing the computational cost and improving the image quality.",2024,gemini,AI
gemini,machine learning,Advanced data mining in field ion microscopy,"This paper explores the application of advanced data mining techniques in field ion microscopy (FIM). The authors utilize machine learning and data analysis methods to extract meaningful insights from FIM data, enabling the identification of complex surface structures and the analysis of material properties. The paper highlights the potential of data mining for advancing the field of materials science and nanoscale characterization.",2024,gemini,AI
gemini,machine learning,Scalable Multi-Domain Dialogue State Tracking,"This paper presents a scalable multi-domain dialogue state tracking system. The system utilizes a combination of deep learning and statistical techniques to track the dialogue state across multiple domains. This approach allows for more robust and efficient dialogue management, enabling the development of more sophisticated conversational agents. The paper demonstrates the scalability and performance of the system on real-world dialogue datasets.",2024,gemini,AI
gemini,machine learning,Proteomics Analysis of FLT3-ITD Mutation in Acute Myeloid Leukemia Using Deep Learning Neural Network,This paper investigates the proteomics analysis of FLT3-ITD mutation in acute myeloid leukemia (AML) using deep learning neural networks. The authors propose a novel deep learning model that analyzes proteomic data to identify specific protein signatures associated with the FLT3-ITD mutation. This approach allows for a more accurate and comprehensive understanding of the molecular mechanisms underlying AML and holds promise for improving diagnosis and treatment strategies.,2024,gemini,AI
gemini,machine learning,Learning Deep Similarity Models with Focus Ranking for Fabric Image Retrieval,"This paper proposes a novel fabric image retrieval method based on deep similarity models. The proposed method utilizes focus ranking to effectively learn discriminative features for fabric images. Focus ranking is a technique that prioritizes regions of interest in images for feature extraction, leading to improved retrieval accuracy. The experimental results demonstrate the effectiveness of the proposed method in retrieving relevant fabric images, outperforming existing techniques.",2024,gemini,AI
gemini,machine learning,Quantum Lower Bounds for Tripartite Versions of the Hidden Shift and the Set Equality Problems,"This paper examines the quantum complexity of tripartite versions of the Hidden Shift and Set Equality problems. It presents lower bounds on the quantum query complexity of these problems, establishing the inherent limitations of quantum algorithms for solving them. The results provide insights into the power of quantum computation for solving specific types of problems and contribute to the understanding of quantum complexity theory.",2024,gemini,AI
gemini,machine learning,RedDwarfData: a simplified dataset of StarCraft matches,"This paper introduces RedDwarfData, a simplified dataset of StarCraft matches designed for research in machine learning and artificial intelligence. The dataset features a reduced number of features and simplified game state representation, making it more manageable for training and testing models. The paper discusses the design choices behind RedDwarfData and highlights its potential for developing and evaluating machine learning algorithms for real-time strategy games.",2024,gemini,AI
gemini,machine learning,Non-linear motor control by local learning in spiking neural networks,This paper investigates the potential of local learning in spiking neural networks for non-linear motor control. The authors propose a novel approach that allows spiking neurons to adapt their parameters based on local feedback signals. This local learning mechanism enables the network to learn complex motor patterns without requiring global optimization methods. The paper presents simulation results demonstrating the effectiveness of the proposed approach for controlling virtual robotic limbs.,2024,gemini,AI
gemini,machine learning,Significance of Softmax-based Features in Comparison to Distance Metric Learning-based Features,"This paper compares the performance of Softmax-based features and distance metric learning-based features for various machine learning tasks. It examines the strengths and limitations of each type of feature representation, providing insights into their suitability for different applications. The paper concludes that the choice between Softmax-based and distance metric learning-based features depends on the specific problem and the available data.",2024,gemini,AI
gemini,machine learning,Learning Deep and Compact Models for Gesture Recognition,"This paper presents a deep and compact model for gesture recognition. The proposed model combines convolutional neural networks with recurrent neural networks to effectively capture both spatial and temporal information in gesture sequences. The compact architecture allows for efficient deployment on resource-constrained devices. The paper demonstrates the model's effectiveness on benchmark datasets, achieving state-of-the-art results in gesture recognition accuracy.",2024,gemini,AI
gemini,machine learning,The Multilinear Structure of ReLU Networks,"This paper investigates the multilinear structure of ReLU networks, a popular type of deep neural network. The authors demonstrate that the activation function of ReLU networks induces a multilinear structure in the network's output. This structure allows for efficient optimization and analysis of ReLU networks. The paper presents theoretical results and empirical evidence supporting the multilinear nature of ReLU networks.",2024,gemini,AI
gemini,machine learning,Beyond Keywords and Relevance: A Personalized Ad Retrieval Framework in E-Commerce Sponsored Search,"This paper proposes a personalized ad retrieval framework for e-commerce sponsored search that goes beyond traditional keyword and relevance-based approaches. The framework leverages user preferences, browsing history, and contextual information to provide more personalized and effective ad recommendations. The paper demonstrates the benefits of the proposed framework through experiments conducted on real-world e-commerce data.",2024,gemini,AI
gemini,machine learning,Objective evaluation metrics for automatic classification of EEG events,"This paper addresses the challenge of objectively evaluating metrics for automatic classification of EEG events. The authors propose a comprehensive set of evaluation metrics that capture different aspects of classification performance, including accuracy, sensitivity, specificity, and F1-score. The paper provides guidelines for selecting appropriate metrics based on the specific application and research question.",2024,gemini,AI
gemini,machine learning,Generation of Bose-Einstein Condensates' Ground State Through Machine Learning,This paper explores the potential of machine learning for generating the ground state of Bose-Einstein condensates. The authors develop a novel approach that utilizes a deep neural network to approximate the ground state wavefunction. The paper demonstrates the effectiveness of the proposed method in generating accurate ground state solutions for various condensate systems.,2024,gemini,AI
gemini,machine learning,Finite-sample risk bounds for maximum likelihood estimation with arbitrary penalties,"This paper analyzes the finite-sample risk bounds for maximum likelihood estimation (MLE) with arbitrary penalties. The authors provide theoretical guarantees on the performance of MLE in the presence of penalties, establishing conditions for consistency and convergence rates. The paper contributes to the understanding of the statistical properties of penalized MLE and has implications for model selection and regularization in machine learning.",2024,gemini,AI
gemini,machine learning,Recent Advances in Recurrent Neural Networks,"This paper presents a comprehensive review of recent advances in recurrent neural networks (RNNs). The authors cover various aspects of RNNs, including architectures, training algorithms, and applications. The paper highlights key breakthroughs in the field, such as Long Short-Term Memory (LSTM) and Gated Recurrent Unit (GRU), and discusses the challenges and future directions in RNN research.",2024,gemini,AI
gemini,machine learning,Application of Convolutional Neural Network to Predict Airfoil Lift Coefficient,This paper explores the application of convolutional neural networks (CNNs) for predicting airfoil lift coefficient. The authors develop a CNN model that learns complex relationships between airfoil geometry and aerodynamic performance. The paper demonstrates the model's accuracy in predicting lift coefficient for various airfoil shapes and flow conditions. The results suggest that CNNs offer a promising approach for aerodynamic analysis and design optimization.,2024,gemini,AI
gemini,machine learning,Reinforcement Learning with Analogical Similarity to Guide Schema Induction and Attention,This paper proposes a novel reinforcement learning (RL) framework that utilizes analogical similarity to guide schema induction and attention. The framework allows agents to learn from previous experiences and apply them to new situations by leveraging the similarity between tasks. The paper demonstrates the effectiveness of the proposed approach in solving complex tasks that require reasoning and generalization.,2024,gemini,AI
gemini,machine learning,Active Robotic Mapping through Deep Reinforcement Learning,This paper investigates the use of deep reinforcement learning for active robotic mapping. The authors develop an RL-based approach that enables robots to autonomously explore environments and generate accurate maps. The paper demonstrates the effectiveness of the proposed method in navigating complex environments and achieving efficient map coverage.,2024,gemini,AI
gemini,machine learning,Multi-timescale memory dynamics in a reinforcement learning network with attention-gated memory,"This paper explores the role of multi-timescale memory dynamics in a reinforcement learning network with attention-gated memory. The authors demonstrate how attention mechanisms can effectively control the flow of information between different memory components, enabling the network to learn and retain knowledge over long periods. The paper presents experimental results showcasing the benefits of multi-timescale memory in improving learning efficiency and performance.",2024,gemini,AI
gemini,machine learning,Corpus specificity in LSA and Word2vec: the role of out-of-domain documents,"This paper investigates the impact of corpus specificity on the performance of Latent Semantic Analysis (LSA) and Word2vec, two popular word embedding techniques. The authors demonstrate that the choice of training corpus significantly affects the resulting word representations. The paper provides insights into the role of out-of-domain documents in shaping the semantic space learned by these methods.",2024,gemini,AI
gemini,machine learning,Kernel Robust Bias-Aware Prediction under Covariate Shift,This paper addresses the problem of kernel robust bias-aware prediction under covariate shift. The authors propose a novel method that combines kernel methods with bias correction techniques to handle situations where the training and test data distributions differ. The paper provides theoretical guarantees on the performance of the proposed method and demonstrates its effectiveness on benchmark datasets.,2024,gemini,AI
gemini,machine learning,Robust Covariate Shift Prediction with General Losses and Feature Views,"This paper investigates robust covariate shift prediction with general losses and feature views. The authors develop a framework that allows for flexible loss functions and feature representations, enhancing the robustness of covariate shift prediction. The paper presents theoretical results and empirical evidence supporting the effectiveness of the proposed approach.",2024,gemini,AI
gemini,machine learning,Discriminative and Geometry Aware Unsupervised Domain Adaptation,This paper proposes a discriminative and geometry-aware unsupervised domain adaptation method. The authors leverage both discriminative and geometric information from the source and target domains to effectively transfer knowledge. The paper demonstrates the effectiveness of the proposed method in reducing domain discrepancy and improving classification accuracy on target domain data.,2024,gemini,AI
gemini,machine learning,Debiased Machine Learning of Set-Identified Linear Models,"This paper addresses the problem of debiasing machine learning models for set-identified linear models. The authors propose a novel approach that accounts for the inherent uncertainty in set-identified models, leading to more reliable and unbiased predictions. The paper provides theoretical guarantees and empirical evidence showcasing the effectiveness of the proposed method.",2024,gemini,AI
gemini,machine learning,Parallel Active Subspace Decomposition for Scalable and Efficient Tensor Robust Principal Component Analysis,"This paper introduces parallel active subspace decomposition for scalable and efficient tensor robust principal component analysis (RPCA). The proposed approach leverages parallel computing techniques to accelerate the RPCA process, allowing for the analysis of large-scale tensor data. The paper demonstrates the effectiveness of the parallel approach in terms of computational efficiency and accuracy.",2024,gemini,AI
gemini,machine learning,Estimation and Inference on Heterogeneous Treatment Effects in High-Dimensional Dynamic Panels under Weak Dependence,"This paper focuses on estimation and inference of heterogeneous treatment effects in high-dimensional dynamic panels under weak dependence. The authors develop a novel method that accounts for both cross-sectional and temporal dependence in panel data, leading to more accurate estimates of treatment effects. The paper provides theoretical guarantees and demonstrates the effectiveness of the proposed method through simulations and real-world applications.",2024,gemini,AI
gemini,machine learning,Random Feature-based Online Multi-kernel Learning in Environments with Unknown Dynamics,This paper investigates the use of random feature-based online multi-kernel learning in environments with unknown dynamics. The authors propose an efficient online learning algorithm that dynamically adapts to changing data distributions. The paper demonstrates the effectiveness of the proposed method in tracking dynamic patterns and achieving good performance in time-varying environments.,2024,gemini,AI
